n,License,lib.licenses,notes
4975,GPL-3,gpl3,
4417,GPL (>= 2),gpl2Plus,
4325,MIT + file LICENSE,mit,
2624,GPL-2,gpl2Plus,
1671,GPL (>= 3),gpl3Plus,
593,Artistic-2.0,artistic2,
461,GPL,gpl,
340,GPL-2 | GPL-3,gpl2Plus,"CRAN has multiple listed""GPL-2 | GPL-3"". Should this be gpl2Plus, gpl3, something else?"
221,CC0,cc0,
194,LGPL-3,lgpl3,
154,GPL-3 | file LICENSE,gpl3,
147,BSD_3_clause + file LICENSE,bsd3,
140,AGPL-3,agpl3,
119,BSD_2_clause + file LICENSE,bsd2,
111,Apache License 2.0,asl20,
100,GPL (>= 2.0),gpl2Plus,
90,LGPL,lgpl2Plus,"Multiple LGPL versions listed: 2, 2.1, 3"
87,Apache License (>= 2),asl20,
70,GPL-3 + file LICENSE,gpl3,
69,LGPL (>= 3),lgpl3Plus,
61,Apache License (== 2.0),asl20,
58,LGPL (>= 2.1),lgpl21Plus,
57,GPL-2 | file LICENSE,gpl2,
55,CC BY 4.0,cc-by-40,
54,Apache License (>= 2.0),asl20,
50,GPL (>= 2) | file LICENSE,gpl2Plus,
49,file LICENSE,NA,
48,Unlimited,unlicense,"I believe ""Unlimited"" is essentially the Unlicense, but feel free to correct."
47,LGPL (>= 2),lgpl2Plus,
46,GPL (>= 3.0),gpl3Plus,
42,AGPL (>= 3),agpl3Plus,
33,Apache License 2.0 | file LICENSE,asl20,
32,GPL (>= 3) | file LICENSE,gpl3Plus,
29,GNU General Public License,gpl2Plus,"CRAN has multiple listed""GPL-2 | GPL-3"". Should this be gpl2Plus, gpl3, something else?"
26,EUPL,eupl12,CRAN links to 1.2 version
26,LGPL-2.1,lgpl21,
25,CC BY-SA 4.0,cc-by-sa-40,
23,MIT + file LICENCE,mit,
20,Apache License,asl20,"CRAN lists both 1.1, 2"
20,LGPL-2,lgpl2,
15,AGPL-3 | file LICENSE,agpl3,
14,LGPL (>= 2.0),lgpl2Plus,
13,Apache License (== 2.0) | file LICENSE,lgpl2Only,
13,CC BY-NC-SA 4.0,cc-by-nc-sa-40,
13,GPL (> 2),gpl2Plus,
13,MPL-2.0,mpl20,
12,CeCILL-2,cecill20,
11,BSD 2-clause License + file LICENSE,bsd2,
11,CeCILL,cecill21,CRAN lists both 2 and 2.1
9,AGPL,agpl3,Checked manually that CRAN points to v3
9,FreeBSD,bsd2,
8,Artistic-2.0 | file LICENSE,artistic2,
8,GPL (>= 2) | file LICENCE,gpl2Plus,
8,MIT,mit,
8,Mozilla Public License 2.0,mpl20,
7,Artistic License 2.0,artistic2,
7,BSL-1.0,boost,
7,MPL-2.0 | file LICENSE,mpl20,
7,NA,NA,
6,BSD_3_clause + file LICENCE,bsd3,
6,GNU General Public License (>= 3),gpl3Plus,
6,GPL (>= 3) + file LICENSE,gpl3Plus,
6,MIT License + file LICENSE,mit,
5,CC BY-NC 4.0,cc-by-nc-40,
5,GNU General Public License version 2,gpl2,
5,GPL (>= 3) | file LICENCE,gpl3Plus,
5,LGPL-2 | LGPL-3 | GPL-2 | GPL-3,lgpl2 lgpl3 gpl2 gpl3,
5,LGPL-2.1 | file LICENSE,lgpl21,
5,LGPL-3 | Apache License 2.0,lgpl3 asl20,
5,LGPL-3 | file LICENSE,lgpl3,
5,MIT + file LICENSE | Apache License 2.0,mit asl20,
4,AGPL-3 + file LICENSE,lgpl3,
4,Apache License (== 2),asl20,
4,BSD 3-clause License + file LICENSE,bsd3,
4,BSD_3_clause + file LICENSE | GPL (>= 2),bsd3 gpl2Plus,
4,EPL,NA,Eclipse Pulic License replaces cpl10. not in lib.licenses
4,GNU General Public License version 3,gpl3,
4,GPL (>= 2.1),gpl3,
4,GPL-2 + file LICENSE,gpl2,
3,BSD_2_clause + file LICENCE,bsd2,
3,CC BY-NC-ND 4.0,cc-by-nc-nd-40,
3,Creative Commons Attribution 4.0 International License,cc-by-40,
3,EUPL (>= 1.2),eupl12,
3,GPL (>= 2) + file LICENSE,gpl2Plus,
3,GPL (>= 2.0) | file LICENSE,gpl2Plus,
3,GPL (>= 3.5.0),gpl3Plus,
3,GPL-2 | GPL-3 | file LICENSE,gpl2 gpl3,
3,LGPL (>= 3) | file LICENSE,lgpl3Plus,
2,ACM | file LICENSE,NA,ACM is not in lib.licenses
2,AGPL + file LICENSE,agpl3,
2,Artistic-1.0,artistic1,
2,Artistic-2.0 + file LICENSE,artistic2,
2,BSL,boost,
2,CC BY-NC-ND 4.0 + file LICENSE,cc-by-nc-nd-40,
2,CC BY-SA 4.0 + file LICENSE,cc-by-sa-40,
2,CC0 | file LICENSE,cc0,
2,CeCILL-2 | file LICENSE,cecill20,
2,Common Public License Version 1.0,cpl10,
2,FreeBSD | file LICENSE,bsd2,
2,GPL (== 2),gpl2,only?
2,GPL (> 3),gpl3Plus,
2,GPL (>= 2.10),gpl2Plus,
2,GPL (>= 2.15.1),gpl2Plus,
2,GPL-2 | GPL-3 | MIT + file LICENSE,gpl2 gpl3 mit,how to deal with multilicense?
2,GPL-2 | file LICENCE,gpl2,
2,"LGPL (>= 2.0, < 3)",lgpl2Only,not sure
2,LGPL (>= 3.0),lgpl3Plus,
2,LGPL-2 | BSD_3_clause + file LICENSE,lgpl2 bsd3,
2,LGPL-3 + file LICENSE,lgpl3,
2,MPL (== 2.0),mpl20,
2,MPL (>= 2.0),mpl20,
2,Unlimited | file LICENSE,unlicense,
1,AGPL (>= 3) | file LICENSE,agpl3Plus,
1,Apache License (== 2.0) + file LICENSE,asl20,
1,Apache License (>= 2.0) | file LICENSE,asl20,
1,Apache License Version 2.0,asl20,
1,Apache License | file LICENSE,asl20,
1,Artistic-2.0 | GPL-2 + file LICENSE,artistic2,
1,BSD_2_clause,bsd2,
1,BSD_3_clause,bsd3,
1,BSD_3_clause + file LICENSE | GPL-2,bsd3 gpl2,
1,CC BY-SA 4.0 | GPL (>= 2),cc-by-sa-40 gpl2Plus,
1,CC BY-SA 4.0 | GPL-3 | file LICENSE, gpl3,
1,CECILL-2.1,cecill21,
1,CPL,cpl10,check this
1,CPL (>= 2),NA,cpl2 is not in nixpkgs
1,CPL-1.0,cpl10,
1,CeCILL (>= 2),cecill21,
1,CeCILL + file LICENSE,cecill21,
1,CeCILL-2 | GPL-2,cecill21 gpl2,
1,EPL (>= 1.0),epl10,
1,EPL | CC BY 4.0 | file LICENSE,epl10 cc-by-40,
1,EPL | file LICENSE,epl10,"Eclipse, not in nixpkgs"
1,EUPL | file LICENSE,uepl12,
1,EUPL-1.1,eupl11,
1,FreeBSD | GPL-2 | file LICENSE,bsd2 gpl2,
1,GNU General Public License (>= 2),gpl2Plus,
1,GNU Lesser General Public License,gpl2,
1,GPL (<= 2),gpl2Plus,
1,GPL (<= 2.0),gpl2Plus,
1,GPL (>= 2) | BSD_2_clause + file LICENSE,gpl2Plus bsd2,
1,GPL (>= 2) | FreeBSD,gpl2Plus bsd2,
1,GPL (>= 2) | LGPL (>= 2),gpl2Plus lgpl2Plus,
1,GPL (>= 2) | LGPL (>= 3),gpl2Plus lgpl3Plus,
1,GPL (>= 2) | LGPL-3,gpl2Plus lgpl3,
1,GPL (>= 2) | MIT + file LICENSE,gpl2Plus mit,
1,GPL (>= 2.0) | file LICENCE,gpl2Plus,
1,GPL (>= 3.0.0),gpl3Plus,check
1,GPL (>= 3.2),gpl3Plus,check
1,GPL (>= 3.3.2),gpl3Plus,check
1,GPL | file LICENSE,gpl3,
1,GPL-2 | Artistic-2.0,gpl2 artistic2,
1,GPL-2 | GPL (>= 2) | GPL-3,gpl2 gpl2Plus gpl3,
1,GPL-2 | GPL-3 | BSD_3_clause + file LICENSE,gpl2 gpl3 bsd3,
1,GPL-2 | LGPL-2.1 | MPL-1.1,gpl2 lgpl21 mpl11,
1,GPL-2 | MIT + file LICENCE,gpl2 mit,
1,GPL-2 | MIT + file LICENSE,gpl2 mit,
1,GPL-3 + file LICENCE,gpl3,
1,GPL-3 | BSD_2_clause + file LICENSE,gpl3 bsd2,
1,GPL-3 | GPL-2,gpl2 gpl3,
1,GPL-3 | LGPL-2.1,gpl3 lgpl21,
1,GPL-3 | file LICENCE,gpl3,
1,LGPL (>= 2) | file LICENSE,lgpl2Plus,
1,"LGPL (>= 2.0, < 3) | Mozilla Public License",lgpl2Plus,
1,LGPL (>= 2.1) | file LICENSE,lgpl21Plus,
1,LGPL-2 | Apache License 2.0,lgpl2 asl20,
1,LGPL-2.1 | MIT + file LICENSE,lgpl21 mit,
1,Lucent Public License,lpl-102,
1,MIT + file LICENSE | Unlimited,mit,
1,MIT License,mit,
1,MIT | file LICENSE,mit,
1,MPL,mpl20,
1,MPL (>= 2),mpl20,
1,MPL (>= 2) | GPL (>= 2) | file LICENSE,mpl20 gpl2Plus,
1,MPL (>= 2) | file LICENSE,mpl20,
1,MPL-1.1,mpl11,
1,Mozilla Public License 1.1,mpl11,
1,Mozilla Public License Version 2.0,mpl20,
1,file LICENCE,NA,